job_title,location,company,salary,rating,summary,city
Financial Data Analyst,"Lewisville, TX 75057",Denton County Transportation Authority,65181.0,3.5,"Bachelor’s degree in accounting, finance, business administration, public administration, or other related field from an accredited college or university.",Dallas
"Analyst II, Data Science","Plano, TX 75023",Liberty Mutual Insurance,97700.0,3.6,"In this role, you will collaborate closely with a team of data scientists, analysts, and IT developers. Adept at framing business questions and.",Dallas
Water Meter Reader,"Dallas, TX 75201 (Government District area)","City of Dallas, TX",32624.0,3.8,EDUCATION: High school diploma or GED. LICENSE(S) and/or CERTIFICATION(S): Communicates with business owners and maintenance engineers to determine why fire…,Dallas
Departmental Budget Analyst (Building Services),"Dallas, TX 75201 (Government District area)","City of Dallas, TX",55874.0,3.8,"Bachelor's degree in an accounting, public administration, finance or business field. Creates various department-wide statistics, collects, researches and…",Dallas
Quality Assurance Specialist (Non-Civil Service),"Dallas, TX 75201 (Government District area)","City of Dallas, TX",46177.0,3.8,Quality assurance/call monitoring involving CRMS/311 Systems or SAP System or dispatch. High school diploma or GED. MS Office or similar software skills.,Dallas
Data Scientist - Decision Science,"Irving, TX 75038 (Cottonwood area)","Cottonwood Financial Administrative Services, LLC",75850.0,2.4,"3+ years of hands-on work experience developing data science solutions leveraging data mining, machine learning, deep learning, operations research, or Bayesian…",Dallas
FINANCIAL ANALYST I,"Dallas, TX",Army and Air Force Exchange Service (AAFES),45914.0,3.8,"ANALYZES FINANCIAL INFORMATION TO PRODUCE BUSINESS FORECASTING. INTERPRETS ECONOMIC FINANCIALS, STATISTICAL DATA, PROGRAM INFORMATION, AND OPERATING RESULTS.",Dallas
Technical Director,"Southlake, TX 76092",BPS Just Energy Technology L,125000.0,,O Support the development of competitive intelligence related to other chemical companies or chemical solutions. O Chemistry or related preferred.,Dallas
"Analyst II, Business (226 Days)","Dallas, TX 75231 (Lake Highlands area)",Dallas Independent School District,87435.0,3.6,"Designs, modifies and builds new data processes and performs data studies of new and diverse data sources. 5 or more years of specific job experience related to…",Dallas
Marketing Coordinator,"Grapevine, TX 76051",Astron Solutions,48000.0,3.4,Must provide experience from school and/ or work experience in the marketing or sales industry. Must have a high level of emotional intelligence and people…,Dallas
"Analyst I, Budget (226 Days)","Dallas, TX 75231 (Lake Highlands area)",Dallas Independent School District,76031.0,3.6,Ability to analyze data or information and develop objectives and strategies as required to meet the goals of the position.,Dallas
"Software Developer, Data Systems (226 Days)","Dallas, TX",Dallas Independent School District,87435.0,3.6,Track record of building a BI system that connects to distributed data storage using multiple data connectors. Knowledge of the software development life-cycle.,Dallas
Product Owner II - Mainframe Database,"Plano, TX 75023",Liberty Mutual Insurance,128200.0,3.6,"Analyzes feasibility, cost ramifications, economies, or other aspects of planned or potential IT solutions whether hosted internally or externally (cloud).",Dallas
Senior Business Analyst - Retail Financial Operations,"Irving, TX 75038 (Cottonwood area)","Cottonwood Financial Administrative Services, LLC",143687.0,2.4,Experience using SQL to query a database. Bachelor’s degree (BS or BBA). Master’s degree (MS or MBA). Create ad hoc reports to help the business understand…,Dallas
Senior Data Engineer,"Plano, TX 75023",Liberty Mutual Insurance,108300.0,3.6,"A Bachelor’s or Master’s degree in a technical or business discipline, or equivalent experience. 3 to 5+ years of data engineering experience.",Dallas
Budget Analyst,"Rowlett, TX",City of Rowlett,52659.5,3.4,"Bachelor’s degree from an accredited college or university with major course work in accounting, budgeting, financial management or a related field.",Dallas
Senior to Principal Data Engineer,"Plano, TX 75023",Liberty Mutual Insurance,99300.0,3.6,"A Bachelor’s or Master’s degree in a technical or business discipline, or equivalent experience. General knowledge of a business function(s) and business…",Dallas
Quality Assurance Data Engineer II,"Irving, TX 75038 (Cottonwood area)","Cottonwood Financial Administrative Services, LLC",77000.0,2.4,At least 3 years of work experience using any standard test management tool like TFS or Azure DevOps or ALM or Jira or any other tool for creating and…,Dallas
Director of Program Management,"Dallas, TX 75254 (Far North area)","VIZIO, Inc.",140760.0,,"Effective communication skills in working with a variety of technical and business personnel. High degree of emotional intelligence, empathy and level headed,…",Dallas
Traffic Management Specialist,"Dallas, TX 75201 (Government District area)","City of Dallas, TX",46177.0,3.8,High school diploma or GED. Installing or testing intelligent traffic system devices. Collection of traffic data from various sources.,Dallas
Database Administrator III - Cloud,"Irving, TX 75038 (Cottonwood area)","Cottonwood Financial Administrative Services, LLC",103000.0,2.4,"Work closely with and provide data expertise to developers, business intelligence, and analytics teams. Experience with database monitoring solutions.",Dallas
Application Support Engineer,"Dallas, TX 75206 (M Streets area)",GDS LINK,80000.0,,Provide support for critical applications used for data processing and credit decisioning. System administration (Linux and Windows server) and knowledge of…,Dallas
Senior Data Engineer,"Norwell, MA 02061",Aborn & Co.,130000.0,,Aligning data architecture with business requirements. Leveraging large data sets to address business issues. Finding hidden patterns using data.,Boston
Senior Data Engineer,"Boston, MA",Uplight,80750.0,4.3,Developing data pipelines to transform and process data between systems. Experience writing and maintaining data pipelines and ETLs leveraging Spark or similar…,Boston
Capital Data and Systems Analyst,"Boston, MA 02114 (Beacon Hill area)",Dept Housing & Community Dev,78081.5,3.8,"Updates and/or cleanses data as necessary by editing, and/or appending, and/or removing duplicate/bad data. MINIMUM ENTRANCE REQUIREMENTS: Applicants must have…",Boston
Senior Data Engineer,"Boston, MA 02116 (Back Bay area)",Liberty Mutual Insurance,118201.0,3.6,Identifies and consults on moderate-high complexity data structure and/or data content issues and develops effective data solutions.,Boston
"Analyst II, Data Science","Boston, MA 02116 (Back Bay area)",Liberty Mutual Insurance,91600.0,3.6,"Collaborate closely with a team of data scientists, analysts, and marketing tactic teams. Collect and prepare internal and external data and perform exploratory…",Boston
Experienced Data Engineer,"Boston, MA 02116 (Back Bay area)",Liberty Mutual Insurance,97700.0,3.6,"Bachelor's or Master's degree in technical or business discipline or equivalent experience, technical degree preferred. Mentor new and junior developers.",Boston
"Manager, Product Research","Boston, MA 02116 (Back Bay area)",Liberty Mutual Insurance,106700.0,3.6,"Deep knowledge of data sources, tools, and the business. Queries data to conduct ad hoc analysis of metrics and answer advanced business questions.",Boston
Program Coordinator I,"Framingham, MA 01702",Department of State Police,64342.5,3.8,"I. A Bachelor's or higher degree with a major in business administration, business management or public administration may be substituted for the required…",Boston
Eligibility Policy Analyst,"Boston, MA 02108 (Beacon Hill area)",EO of HHS PayRoll/Gen Admin,78081.5,3.8,"III. A Bachelor's or higher degree with a major other than in business administration, business management or public administration may be substituted for a…",Boston
Management Analyst III,"Boston, MA 02122 (South Dorchester area)",Department of Environmental Protection,78081.5,3.8,"III. A Bachelor's degree or higher degree with a major other than in business administration, business management, public administration, industrial engineering…",Boston
Marketing Coordinator,"Boston, MA 02199 (Back Bay-Beacon Hill area)",Astron Solutions,48000.0,3.4,Must provide experience from school and/ or work experience in the marketing or sales industry. Must have a high level of emotional intelligence and people…,Boston
Data Analyst – Division of Quality Improvement,"Boston, MA 02108 (Downtown area)",Department of Public Health,86434.0,3.8,"Ability to assess data quality. Provide guidance for Division of Quality Improvement data analysis, research, evaluation, and quality improvement activities.",Boston
"Solutions Engineer, Cloud / Database","Boston, MA 02101",Liberty Mutual Insurance,128200.0,3.6,Bachelors or Master’s degree in technical or business discipline or equivalent experience; technical Master’s degree preferred.,Boston
State Rental Assistance Data Systems and Performance Analyst,"Boston, MA 02114 (Beacon Hill area)",Dept Housing & Community Dev,70991.5,3.8,"III. A Master's or higher degree with a major in public administration, business administration or business management may be substituted for the required…",Boston
Data Scientist - Nationwide Opportunities,"Boston, MA","Amazon Web Services, Inc.",114700.0,3.6,Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models.,Boston
Physicist,"Cambridge, MA",US Other Agencies and Independent Organizations,82787.5,3.8,"Knowledge of the principles and practices in the field of atomic, molecular, or chemical physics or related field. Pre and Post background investigation.",Boston
Budget Analyst,"Boston, MA 02114 (Beacon Hill area)",Tax Administration,70991.5,3.8,"I. An Associate's degree with a major in accounting, business administration or business management may be substituted for a maximum of one year of the required…",Boston
Internal Auditor,"Boston, MA 02108 (Downtown area)",MassHousing,87228.0,3.6,"Applies process analysis, business intelligence and problem-solving techniques. Bachelor’s degree in Accounting, Analytics, Business, or Finance, or equivalent…",Boston
Software Engineer,"Boston, MA 02210 (South Boston area)",Autonodyne,80000.0,,"Security clearance (active or previous) or the ability to be granted one desired. You’ve studied - you have a BA, BS, or MS in computer science or a related…",Boston
Analyst RSG,"Andover, MA",Empower Retirement,76200.0,3.1,"Understanding of data warehouse, business intelligence/data tools and technologies. 3 - 5 years' SFA and CRM administration or business systems analyst…",Boston
POLICY ASSOCIATE,"Boston, MA",Frontier Group,29500.0,2.7,"Upon successful completion of the two-year program, the associate will be eligible for a policy analyst position within Frontier Group, or may choose to be…",Boston
Associate Data Engineer,"Boston, MA",Uplight,77000.0,4.3,Developing data pipelines to transform and process data between systems. Scaling our software to handle the ever-growing customer data.,Boston
Astrophysicist,"Cambridge, MA",US Other Agencies and Independent Organizations,109832.5,3.8,"Ability to define and solve problems which arise in astrophysical research, with particular emphasis on research involving X-ray emission, as part of conducting…",Boston
Senior Python Developer,"Boston, MA",Homesite Insurance,149066.0,3.2,Adhere to architectural standards and develop designs that consider impact with other aspects of the database and appropriately leverage existing code.,Boston
Personnel Analyst III,"Randolph, MA 02368",EO of Public Safety & Security,81774.0,3.8,"Performing data entry of new hires, transfers, promotions, terminations, updates and maintain current data of all employees in the HR/CMS system.",Boston
Senior Policy Analyst,"Quincy, MA 02171 (North Quincy area)",EO of HHS PayRoll/Gen Admin,78081.5,3.8,"Bachelor ' s with a major in business administration, business management, public administration or other relevant areas. Reasonable Dental and Vision Plans;",Boston
Regional Planner IV,"Boston, MA 02114 (North End area)",DCR - Engineering and Planning,86434.0,3.8,"MINIMUM ENTRANCE REQUIREMENTS: Applicants must have at least (A) five years of full-time, or equivalent part-time technical or professional experience in urban…",Boston
All Hazards Planner,"Framingham, MA 01702","MA Emergency Mgmt Agency,MEMA",72035.5,3.8,"May be required to work extended hours, including during nights and weekends in the event of a disaster, emergency, incident or threat affecting the…",Boston
General Engineer - DIRECT HIRE,"Cambridge, MA",US Department of Transportation,113663.5,4.1,"Professional registration or licensure - current registration as an Engineer Intern (EI), engineer in Training (EIT), or licensure as a Professional Engineer …",Boston
Fleet and Safety Analyst,"Braintree, MA 02184",Iron Mountain,60000.0,3.7,Serve as a champion of safety working closely with predictive data and local field leadership to reduce at risk driving and accidents.,Boston
Portfolio Analyst,"Boston, MA",Xicay Technologies,62500.0,,"2-5 years’ experience in Finance, Accounting or Banking. Contribute to initiatives and projects as required, including development and automation of business…",Boston
Environmental Analyst III,"Boston, MA 02114 (North End area)",DCR- Water Supply & Protection,79207.5,3.8,Provides data in response to public information requests. Maintain precipitation data base and oversee rainfall observer network .,Boston
Safety Analyst (OHS),"Boston, MA",Massachusetts Bay Transportation Authority,71490.5,3.6,"Respond or report to work as directed by supervisory personnel for emergencies, extreme weather conditions or any other abnormal conditions that impair service…",Boston
Archive Developer,"Cambridge, MA",US Other Agencies and Independent Organizations,70483.0,3.8,"Undergraduate or Graduate Education: Degree in computer science, engineering, information science, information systems management, mathematics, operations…",Boston
Data Scientist,"Houston, TX",Energy Services Inc,138000.0,3.2,Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop). Analytical mind and business acumen.,Houston
Data Engineer,,Checkmate Partners,205000.0,,"Working cross-functionally with data scientists, backend engineers and product managers to design and implement, and new data models to support the product.",Houston
Staff Analyst,"Houston, TX","City of Houston, TX",72500.0,3.8,"Compiles data, produces information and interprets results through conclusion or recommendation formulation. Develops reports, special documents or publications…",Houston
Economic Analyst,"Houston, TX 77029 (Denver Harbor - Port Houston area)",Port Houston,65000.0,3.6,"Provide guidance and assistance to business lines on forecasting issues, business planning, and long-term trends in the economy affecting their respective…",Houston
Senior Data Scientist,"Houston, TX 77056 (Greater Uptown area)",Zdaly,175000.0,,Minimum of Bachelor’s degree in a technical discipline. 5+ years of experience in full stack application development. Expert level knowledge of SQL Server.,Houston
JD Edwards - Business Analyst,"Houston, TX 77002 (Downtown area)",Vigna Inc,80000.0,,Avalara or Vertex knowledge and experience. Bachelor’s degree in Accounting or Finance. Work closely with the BU’s functional representatives in the development…,Houston
IT Data Programmer Analyst,"Katy, TX 77449",Inframark,100000.0,2.7,Education/Experience: BS in computer science or equivalent experience and 4+ years of experience. Experience with: designing/developing Windows and browser…,Houston
Office Administrator,"Houston, TX 77008 (Independence Heights area)",Fulkrum Technical Resources,35000.0,4.9,"You will be expected to ensure that our database is up to date, and to input client/inspector data and reports into the system on a regular basis.",Houston
Financial Analyst,"Houston, TX 77057 (Greater Uptown area)",Stanmore Partners,52500.0,,Bachelor’s degree in Finance/Accounting or equivalent experience. A good job for someone just entering the workforce or returning to the workforce with limited…,Houston
Sr. Data Engineer,"Houston, TX 77032",iLink Systems Inc.,130000.0,,Design and develop data visualizations in Power BI. Basic understanding of Power BI and Azure data catelog *. Prepare documentation and architectural designs.,Houston
GIS Analyst,"Houston, TX 77002 (Downtown area)","City of Houston, TX",58743.0,3.8,Develop/Implement applications and workflows to support various clients with Geographic Information System (GIS) and data needs to meet critical business…,Houston
Operations Analyst,"Houston, TX 77027 (Greenway - Upper Kirby Area area)",Houston-Galveston Area Council,63615.5,,"Research new or improved business and management practices for application to operations. Develops, tracks, analyzes generates and reviews data, graphs and…",Houston
Population Health Analyst,"Houston, TX 77004 (Binz area)",Privia Health,77500.0,,"Experience with (or a desire to learn) Python or R for statistical analysis. Extract and transform data from Privia’s data warehouse, translate data into…",Houston
Lead ETL and Database Engineer,"Houston, TX",Legal Metrics,80000.0,,"Technical expertise regarding data models, database design development, data mining and segmentation techniques. Funded Startup with 30 Customers.",Houston
AVEVA Confirmed Administrator,"Houston, TX 77008 (Greater Heights area)",ORINOX,87500.0,,,Houston
Data Scientist,,JES Tech,55000.0,,"Bachelor’s degree or certification in Data Science, Computer Science, Mathematics, Statistics, or similar quantitative field or at least 4 years relevant…",Houston
Measurement Data Analyst,,"SPL, Inc.",80000.0,,Associates degree (A.A.) or equivalent from a two-year college or technical school; or two to four-years related experience and/or training; or equivalent…,Houston
Research Scientist - Materials,,C-Crete Technologies,83500.0,,"C-Crete assembles significance experience in technical, entrepreneurial and business development skills in taking early stage concepts to commercialization.",Houston
STAFF ANALYST (COMPENSATION),"Houston, TX 77002 (Downtown area)",City of Houston,78000.0,3.8,"Candidate will research, gather, and analyze compensation data to determine and validate market competitive pay rate while supporting compensation budget…",Houston
Principal Business Analyst,"Houston, TX",EDF Trading North America,120000.0,4.1,Acquire and/or create test data and business process scenarios. Experience managing external vendors and/or business partners.,Houston
Associate Data Scientist,"Houston, TX 77056 (Greater Uptown area)",BroadVail Capital Partners,75123.0,,> > Ability to source & clean data across numerous files & data types (e.g. extracting from PDFs or images for text or parsing data files with specific machine…,Houston
Data Analyst - Transportation,"Houston, TX 77027 (Greenway - Upper Kirby Area area)",Houston-Galveston Area Council,61190.5,3.9,"Three (3) years’ experience in urban or regional planning, public administration, monitoring and reporting, data analysis, database administration.",Houston
Office Manager,"Houston, TX 77011 (Second Ward area)",Rebuilding Together Houston,55000.0,," Bachelor’s degree (B.A.) in Business Management, Finance or Accounting from a four year college or university; and four to five years related experience and…",Houston
Systems Analyst,"Houston, TX 77070",MHK TECH,65333.0,,"REQUIREMENTS: Bachelor or foreign equivalent in Technology, Computer Science, Computer Applications, any Engineering or related field.",Houston
Sales Operation Analyst,"Houston, TX 77056 (Greater Uptown area)","STEMscopes by Accelerate Learning, Inc.",58500.0,,"Ensure data accuracy and verify salesforce data by performing periodic audits. Identify, analyze and interpret trends by using historical and market data.",Houston
Benefits Administration/HRIS Analyst,"Houston, TX",KBR,60000.0,4.1,Audits plan census and payroll data for accuracy to ensure data integrity of all data entered and distributed. 2-3 years systems exposure and/or development.,Houston
Real Estate Acquisitions Analyst,"Houston, TX",Open House Texas Realty and Investments LLC,67500.0,,"Ability to understand basic financial data. Personal protective equipment provided or required. Sanitizing, disinfecting, or cleaning procedures in place.",Houston
Scientist,"Houston, TX 77054 (South Main area)","Access Dx Laboratory, LLC",76271.0,,"Analyze large molecular datasets such as raw microarray data, genomic sequence data, and proteomics data for clinical or basic research purposes.",Houston
Business Analyst,,Phoenix Park Energy Marketing LLC,77000.0,,"Experience within the NGL supply business will be an asset. Sanitizing, disinfecting, or cleaning procedures in place. PPEM’s President’s Office.",Houston
Sr. Software Developer,,Patient Care Intervention Center (PCIC),80000.0,,Experience with Agile or iterative development SDLC practices. Experience working on HL7 and/or FHIR interfaces. 4+ years of experience with .,Houston
"Financial Analyst, FP&A","Humble, TX 77338",Ksbj Educational Foundation Inc,66500.0,,"CPA or Finance equivalent required. Those activities in which they must convey detailed or important spoken instructions to other workers accurately, loudly, or…",Houston
Sr. Linux Administrator,"Houston, TX 77056 (Greater Uptown area)",Deep48,85000.0,,Experience with bash and/or Perl scripting. Experience with MySQL including database and user management. Be able to think critically and think outside the box…,Houston
Application Support Analyst,"Houston, TX 77047 (Southeast area)","Primary Arms, LLC.",57500.0,2.4,Works with the various business units to understand application needs and develop solutions based on existing or new technologies to enhance the day to day…,Houston
AI-ML Developer,"Houston, TX 77042 (Briarforest Area area)",PCS Software,100000.0,,"Proven experience as a machine learning engineer or similar role. Understanding of data structures, data modeling and software architecture.",Houston
Human Resources Generalist,"Houston, TX 77077",Verge Mobile – a T-Mobile Premium Partner,47500.0,3.8,Participate in the acquisition process including but not limited to data entry. The employee is required to have close visual acuteness to perform activities…,Houston
SEO Specialist,"Cypress, TX 77429",Malone Media Group,50000.0,4.0,Associate’s degree or equivalent from two-year college or technical school; or six months to one-year related experience and/or training; or equivalent…,Houston
"System Administrator II, PeopleSoft","Houston, TX 77070",Lone Star College,69687.5,4.3,"Ability to work in cooperation with developers, analysts, managers, and consultants. Personal protective equipment provided or required.",Houston
Engineering Technician,"Houston, TX 77060 (Greater Greenspoint area)",US Department of Justice,85487.0,4.1,Instrument maker or model maker who performed design or development work on devices fabricated. Certificate of Release or Discharge from Active Duty (DD-214…,Houston
Sr. Implementation Analyst (Saas),"Houston, TX",ParityFactory LLC,80000.0,,"College Degree or equivalent experience. At least 2 years experience implementing or configuring software (ideally a WMS, ERP, or inventory management platform)…",Houston
Java Developer,"Houston, TX 77002 (Downtown area)",Maddisoft,106559.5,,Developer is required to work alongside database developers as well as end users to ensure all elements of the web application are consistent with requirements.,Houston
Systems Engineer,"Houston, TX",Exostrategies,65000.0,3.3,Personal protective equipment provided or required. Familiarity with NASA or DoD Work Instructions. Experience with data visualization tools and scripting…,Houston
Control and Process Engineer,"Houston, TX 77015",Ingenia Polymers,94583.5,2.8,Bachelors or Masters in Control Engineering is preferred. Providing analysis of data and generating required compliance documentation.,Houston
HRIS Analyst,"Houston, TX 77002 (Downtown area)",Vigna Inc,60000.0,,"Experience with data analysis, data manipulation, database statistics, statistical research, system study, documentation, and programming.",Houston
Board Certified Assistant Behavior Analyst (BCABA),"Missouri City, TX 77459",Texas ABA Therapy,55000.0,,"Personal protective equipment provided or required. Sanitizing, disinfecting, or cleaning procedures in place. Supervise and train Behavior Technicians.",Houston
