job_title,location,company,salary,rating,summary,city
Returnship Product Engineer,"Irving, TX",Allstate,39.0,3.7,Bachelor or master’s degree in computer science or a related technical field or comparable experience. Fundamental understanding of database technologies …,Dallas
Hadoop Developer,"Plano, TX",Acestack LLC,65.0,,Familiarity with data loading tools including Squoop and Flume. Previous experience as a Hadoop Developer or Big Data Engineer.,Dallas
"Technician, Telecommunications (260 Days)","Dallas, TX 75231 (Lake Highlands area)",Dallas Independent School District,36.0,3.6,"Assists the data network engineers with maintaining an accurate E-Rate equipment database, including the shipping or equipment back to vendors and manufacturers…",Dallas
"Technical Writer – Dallas, Texas – Part Time","Dallas, TX",Swanson Reed,30.0,5.0,"Degree or diploma in Business Writing, Journalism or Science. Communicate edited changes to engineers and managers. The pay rate is $30 per hour.",Dallas
Azure Data Engineer,"Dallas, TX 75201","CGI Group, Inc.",62.5,3.6,CGI is seeking a data engineer experience developing and deploying applications on Microsoft Azure Databricks platform.,Dallas
Wastewater Plant Operator/Apprentice,"Grapevine, TX","City of Grapevine, TX",20.5,4.5,"High school diploma or equivalent with studies in biology, chemistry or physics. Wastewater quality analysis including, wastewater sample collection, testing…",Dallas
IT Product Owner / Business Analyst Intern,"Boston, MA",Homesite Insurance,30.0,3.2,"Understanding of business process reengineering and business modeling concepts, business systems development and analysis. Release volume and backlog health;",Boston
Carbon Sequestration Analyst,"Boston, MA 02114 (Beacon Hill area)",EO of Energy and Env Affairs,40.5,3.8,"Undergraduate or graduate degree in forestry, ecology, natural resource management, spatial analysis, or similar disciplines;",Boston
Violence and Injury Data Analyst (Contractor),"Boston, MA 02108 (Downtown area)",Department of Public Health,32.5,3.8,"Prior experience in violence or injury related data research or surveillance is strongly preferred. Skilled in data collection methods, standards, and analysis.",Boston
Solaria Labs Data Science Coop (July - Dec.),"Boston, MA 02116 (Back Bay area)",Liberty Mutual Insurance,32.0,3.6,You will interact with other data scientists and engineering teams to implement your solutions within internal and customer facing software products.,Boston
P/T Admissions Customer Relations Specialist (two positions),"Boston, MA 02129 (Charlestown area)",Bunker Hill Community College,21.0,4.4,"High School Diploma required or an equivalent combination of education, training and experience involving college admissions, academic advisement, career…",Boston
2021 Research & Development Fall Co-Op,"Cambridge, MA",Johnson & Johnson Family of Companies,21.0,4.2,Assignment area and work-site location will be matched to business needs. Proven leadership/participation with campus programs and/or community service…,Boston
"Data Science Internship (Graduate) - Boston, MA - June 2021","Boston, MA 02116 (Back Bay area)",Liberty Mutual Insurance,45.0,3.6,"Be part of a growing community of data science professionals that harness the power of data to analyze performance trends, identify opportunities, and keep…",Boston
Housing Hotline Associate,"Chelsea, MA 02150",The Neighborhood Developers,18.5,5.0,Learn and adhere to data security protocols. Strong computer skills with Microsoft Office suite and Salesforce or other databases. Director in a timely manner.,Boston
Associate Scientist,"Burlington, MA 01803",Cybertech Inc,27.5,4.3,"1-year contract opportunity with possibility for extension or direct hire. Bachelor's or Associate's Degree and 1 to 2 years' experience, or High School Diploma…",Boston
SCIENTIFIC - CEL - DATA MANAGER - MA - 35129-1,"Cambridge, MA",ASAP Solutions,46.0,4.1,"Bachelor’s degree in a related discipline with at least 2-3 years of experience in biomedical data management, data engineering, quality assurance, assay…",Boston
Research Scientist,"Houston, TX",Pharma,32.5,,"Obtains and analyzes experimental data. Ph.D or MS with entry level experience. Supports design and execution of experiments, including data analysis and…",Houston
Azure Data Engineer,"Houston, TX",PRIMESOFT INC,48.0,4.0,"Demonstrable experience in data platforms involving implementation of end to end data pipelines. Experience in data modeling, warehouse design and fact…",Houston
Data Engineer IT - Big Data Services,"Houston, TX",TTS Solutions Inc,67.5,,"Assists data analysts and data scientists with query optimization, performance tuning, and data processing. *Architect end to end data solutions including data…",Houston
SAP Security-A Roles Database Administrator,"Houston, TX",Aptidea,50.0,,,Houston
Customer Service Representative,"The Woodlands, TX 77380",Epsilyte LLC,26.0,,HS Diploma or equivalent required. Bachelor’s Degree in Business or related field preferred. Manage the domestic and/or export order fulfillment process.,Houston
Senior Practice Administrator - Outpatient center 7:30A-5P,"Houston, TX 77061 (Golfcrest - Bellfort - Reveille area)",ChenMed,50.0,3.3,"Bachelor’s degree in Business Administration, Hospitality, Healthcare Administration or a related discipline with a minimum of 7 years’ related internal and/or…",Houston
GRADUATE ENGINEER/ TDO,"Houston, TX","City of Houston, TX",29.5,3.8,Uses existing traffic counts and crash data to build a crash rate database to prioritize safety improvements. Requires graduation from an engineering or related…,Houston
Behavior Technician,"Missouri City, TX 77459",Texas ABA Therapy,16.5,,"Personal protective equipment provided or required. Therapists also analyze data and track progress. Sanitizing, disinfecting, or cleaning procedures in place.",Houston
Release Customs Analyst,"Houston, TX 77086",Livingston International,14.0,3.2,"Personal protective equipment provided or required. High school or equivalent (Preferred). Sanitizing, disinfecting, or cleaning procedures in place.",Houston
2021 Research & Development Fall Co-Op,"Houston, TX",Johnson & Johnson Family of Companies,21.0,4.2,Assignment area and work-site location will be matched to business needs. Proven leadership/participation with campus programs and/or community service…,Houston
Early Childhood Infant / Toddler / PreK Teachers,,Oak Forest Academy,14.5,,High school or equivalent (Required). CPR and First Aid Certification or willingness to obtain. Bachelor’s in early childhood or relevant preferred.,Houston
Payroll Assistant,"Houston, TX 77032",TriSMART Solar LLC,20.0,,Personal protective equipment provided or required. Audits data and creates reporting as assigned. Bachelor's or Associates degree (Preferred).,Houston
Network Administrator,"Houston, TX 77019 (River Oaks area)",TriOpz,40.0,,"Plan, implement, and/or engineer network solutions based on Cisco/Meraki equipment with intermediate complexity. Problem Solving and Critical Thinking.",Houston
IT/GIS Analyst,"Houston, TX",Vision,64.0,,"Produce reports on geographic data utilizing data visualizations. Creating ""shapefiles"" to merge topographical data with external data by layering external data…",Houston
Application Programmer/Developer,"Houston, TX",Houston Medical Center,21.5,3.5,"Also includes presenting data in charts, graphs or tables, designing and developing relational databases for collecting data or building and designing data…",Houston
ETL/BI developer,"Houston, TX",eTek IT Service | Savvysol,62.5,,Engage with the supported business community and other areas of IT&S as necessary to deliver application enhancements and to resolve system incidents.,Houston
R&D Assistant,"Houston, TX 77045 (Central Southwest area)",Viswa Group,17.0,,The Research & Development Assistant provides support acting as a liaison between the research engineer scientists and the testing laboratory.,Houston
Armed Security Officer,"Humble, TX",Strategic Security Corp,18.0,3.1,Sound alarms or calls police or fire department in case of fire or presence of unauthorized persons. Watch for irregular or unusual conditions that may create…,Houston
CONTRACT DATA ANALYST (TEMPORARY),,MPACT Strategic Consulting LLC,27.5,5.0,"Bachelor’s Degree in Finance, Accounting, Data Analytics or other applicable field of study; or equivalent combination of education and experience.",Houston
Data Engineer,,Brooksource,80.0,3.7,"The Data Engineer will support our data product owners, developers, data architects, data analysts and data scientists on BI and Analytic initiatives and will…",Houston
Student Analyst/ABA Therapist,"Houston, TX",Autism Therapy Services,22.5,,"Implement data collection, review, and modify treatment according to data under direction of a BCBA. Personal protective equipment provided or required.",Houston
HR Analyst,"Houston, TX",TriOpz,37.5,,Provide analytical support on human resources data. Analyze compensation data and recommend salary grades for Americas Hub Executives.,Houston
Trade and Investment Associate (TIA- Management & Energy),"Houston, TX",Foreign & Commonwealth Office,24.0,4.0,Possibilities include earlier or later start times in the morning – followed by leaving earlier or later in the evening. Possess a valid driving license.,Houston
Testing Engineer,"Houston, TX 77043 (Spring Branch area)",Full Circle Recruiting,22.5,,Working knowledge of data acquisition equipment. Previous lift truck or vehicle testing experience. Computer programming/networking/advanced database knowledge.,Houston
Inventory Control Analyst,"Houston, TX 77043 (Spring Branch area)",Full Circle Recruiting,18.0,,Experience with MRP/ERP business management system software. Ability to maintain effective business relationships with stakeholders in all areas of operations.,Houston
IT/GIS Analyst III,"Houston, TX 77002 (Downtown area)",TTS Solutions Inc,80.0,,"Creating ""shapefiles"" to merge topographical data with external data by layering external data over a topographical map.. Job Types: Full-time, Contract.",Houston
Compensation Team Intern (Immediate Opening),"Houston, TX",IDEA Public Schools,10.0,3.2,"Responsibilities may include research analysis, data entry, preparing presentations and data reporting. Current college student, preferably in a related field…",Houston
"IT Helpdesk Analyst (remedy, service point, datacenter)","Stafford, TX",Vetworks US,22.0,,Education: 2-year college degree preferred or 3 years of Computer Operator experience. DAYS OFF: TUE/WED \*Flexibility with weekdays of which days off.,Houston
Graphic Designer,"Houston, TX 77040",Vape City,12.5,3.8,"Vape City in Houston, TX is looking for an experienced full time graphic designer/Marketing Analyst with an emphasis on digital marketing to join our team.",Houston
Monitor Technician - Entry Level (Inside Chemical Plant),,Emission Monitoring Service Inc.,14.0,3.2,Performing drift assessments (entering data into calibration book). Reporting new or removed components to Site Supervisor (SS). Must Be Able to Travel*.,Houston
Registered Behavior Technician (RBT),"Sugar Land, TX",Positive Behavior Supports Corp.,18.0,,Communicate openly with behavior analysts and regional coordinator. Teaching skills that allow the individual to communicate and/or function more effectively.,Houston
ABA Behavior Therapist / Behavior Technician,"Cypress, TX",Key Autism Services,22.5,3.8,"Collect behavior and skill acquisition data during sessions. Bachelor's Degree or working towards your degree in a related field (Psychology, Education, Social…",Houston
Accounts Receivable Specialist,"La Porte, TX 77571",Envent Corporation,18.5,4.2,High school diploma or equivalent required; Associate’s or Bachelor’s degree in Accounting preferred. Basic understanding of business ethics.,Houston
Storm Response Scout,"Houston, TX",Think Power Solutions,44.0,4.5,Minimum High School diploma or equivalent. High school or equivalent (Preferred). “Smart” phone with data plan (monthly stipend provided).,Houston
Behavioral Technician/ABA Therapist - BACHELORS REQUIRED!,,The Lily Center,15.0,,Preferred: Experience working with children ages 0-16 providing in a classroom or 1:1 setting; experience implementing the principles of Applied Behavior…,Houston
Selligent Marketing Cloud Data Engineer,"San Francisco, CA 94147 (Marina area)",Braintrust,112.5,4.3,"Experience working with technology teams (client side or third party vendors) to generate and import data files into Selligent Marketing Cloud, as well as…",San Francisco
Data Engineer,"Foster City, CA 94404",Ryzen Solutions,50.5,,"Personal protective equipment provided or required. Sanitizing, disinfecting, or cleaning procedures in place. Job Types: Full-time, Contract.",San Francisco
Data Engineer,"San Francisco, CA",Rapid Value Solutions,77.5,,"Experience in data acquisition, data set process, improving data reliability, quality and efficiency. May seek assistance from the supervisor or more skilled…",San Francisco
Data Analyst - Diversity & Inclusion,"Foster City, CA 94404",Leadstack Inc,67.5,,Minimum of 5 years in HR and/or with project management or HR data related experience. Translate data and trends into stories to drive business decisions.,San Francisco
"Entry Level Business Analyst: San Francisco, CA","San Francisco, CA",Agama Solutions,30.0,3.8,Troubleshoot data issues by validating different data sources. Analyze business performance trends to identify growth opportunities.,San Francisco
Data Engineer,,TEKsystems,75.0,3.9,"Designed, developed, and implemented data infrastructure, data pipelines and data processing code for product features. Hive/spark/snowflake/sql development.",San Francisco
Jr. Data Analyst,"Oakland, CA 94612 (San Pablo Gateway area)",Pyramid,22.5,3.9,Translate business needs to technical specifications. Maintain and support data analytics platforms. Develop and execute database queries and conduct analyses.,San Francisco
Behavior Therapist,,"Roman Empire Living Skills, Inc",20.0,,Provide data collection according to Functional Behavior Assessment. Pass Criminal Background Check (No Misdemeanors or Felonies).,San Francisco
Behavior therapist / Registered Behavior Technician *ASL Speaking Preferred,,Positive Behavior Supports Corporation (PBS),20.5,3.8,High school or equivalent (Required). Communicate openly with behavior analysts and regional coordinator. Proof of annual or required updated training shall be…,San Francisco
Data Engineer-USC/GC/GC-EAD/H4-EAD/L2-EAD,"San Francisco, CA",Neoiteksys,62.5,,Excellent communication skills and experience working with business and data science teams to assess their data needs. Note : Python and SQL Need to be strong*.,San Francisco
Business Analyst,,Robert Half,30.5,3.9,"Firm understanding of problem solving through statistical analysis or with large data sets highly preferable (such as in derivatives, structured finance, or…",San Francisco
Data Engineer,"Walnut Creek, CA 94597",Next Level Services,54.5,,"Aggregating key metrics for business partners to inform key decisions. Strong skills in SQL, Java, and/or Python. Job Types: Full-time, Contract.",San Francisco
Planner I,"San Francisco, CA (South of Market area)",City & County of San Francisco,38.5,4.0,"Possession of a baccalaureate degree from an accredited college or university; AND one (1) year of city or urban planning, transportation, urban design,…",San Francisco
Data Scientist,"San Francisco, CA 94105 (South Beach area)",Global Software Resources,62.5,,2 years of relevant experience in data science or advanced analytics (through graduate education or work experience). Work closely with domain experts.,San Francisco
AWS Lead Data Engineer,"San Mateo, CA",clifyx inc,75.0,,Mentor data engineers and other stakeholders on the best practices of managing a large-scale production data platform and developing a data-driven operations…,San Francisco
Finance Business Systems Analyst,"San Rafael, CA",Applicantz,55.0,,"This position documents data flows, data mappings, performs data lineage analysis as required. Prior demonstrated experience with business analysis,…",San Francisco
Data Scientist,"San Francisco, CA",Ryzen Solutions,66.5,,2 years of relevant experience in data science or advanced analytics (through graduate education or work experience). Work closely with domain experts.,San Francisco
Database Analyst(s),"Tiburon, CA",Tiburon Strategic Advisors,20.0,2.0,"Assist in managing the firm's contacts database in Salesforce (including data entry). Assist with other database projects as necessary, including preparation…",San Francisco
Medical Device Assembler,"San Francisco, CA (Mission area)",Roam Robotics,22.0,,Must be comfortable on PC for inputting manufacturing data. Work with a team to assemble entire products or components. Employment Type: 3-6 months Contract.*.,San Francisco
100% Remote :: Azure Data Engineer :: Joining Feb 6,"San Francisco, CA",RulesIQ,62.5,,"Lead, design, develop and deliver large-scale data systems, data processing and data transformation projects. Hands-on experience with Azure cloud data services…",San Francisco
Machine Learning Engineer / Data Scientist,"San Francisco, CA 94103 (Yerba Buena area)",The Blue Store,75.0,,"Keywords: developer, python developer, software engineer, software developer, engineer, automation engineer, trader, full stack, full stack engineer, full stack…",San Francisco
NGS Scientist,,MedGenome,53.0,,"PhD degree in molecular biology or equivalent in, cancer genetics, Immunology or a related field. The ideal candidate will have a PhD or equivalent depth of…",San Francisco
Chief Engineer,,the Nines Hotel,34.0,3.7,Requires analyzing activities and/or information involving some original data manipulation or interpretation to arrive at logical conclusions.,San Francisco
Microsoft Power Business Intelligence Developer,"San Francisco, CA (South of Market area)",City & County of San Francisco,52.0,4.0,"Experience in business intelligence, data integration and reports/analytics. The developer will work alongside business analysts to capture requirements of our…",San Francisco
IS Business Analyst-Senior,"San Francisco, CA (South of Market area)",City & County of San Francisco,57.5,4.0,"Three (3) years of experience in the information systems field, including system analysis, business process design, development and implementation of business…",San Francisco
Manager I,"San Francisco, CA (South of Market area)",City & County of San Francisco,60.5,4.0,Lead research projects and data analysis to assess digital equity needs and program progress. Experience working on issues related to digital equity or bridging…,San Francisco
Senior MEMS Engineer,,iota Biosciences,60.0,,"Work with neuroscientists, mechanical engineers, and electrical engineers to define constraints and requirements for this system.",San Francisco
Senior Ultrasound Engineer,,iota Biosciences,60.0,,"Work with neuroscientists, mechanical engineers, and electrical engineers to define constraints and requirements for this system.",San Francisco
Management Assistant,"San Francisco, CA (South of Market area)",City & County of San Francisco,42.0,4.0,"Possession of a Baccalaureate Degree from an accredited college or university with major coursework in public or business administration, accounting, finance,…",San Francisco
Senior Database Engineer,"San Francisco, CA (South of Market area)",City & County of San Francisco,69.0,4.0,An associate degree in computer science or a closely related field from an accredited college or university OR its equivalent in terms of total course credits…,San Francisco
Azure Data Engineer/Modeler Lead,"Oakland, CA",First Soft Solutions [ Direct],63.5,,"This individual will be responsible for developing and maintaining business intelligence, data warehousing and data engineering solutions for Enterprise data…",San Francisco
Office Specialist,"Hayward, CA",Hayward Unified School District,29.5,3.9,"Sitting or standing for extended periods of time. Bending at the waist, kneeling or crouching to assist students. Operation of a computer and assigned software.",San Francisco
Credit Analyst,"San Mateo, CA",Banking and Finance Professionals,22.0,,"BA / BS degree in Business Administration, Finance, or similar. Looking for credit analysts to provide an exceptional borrower experience throughout the…",San Francisco
Full Stack Developer,"San Francisco, CA 94103 (Yerba Buena area)",The Blue Store,75.0,,"Keywords: developer, python developer, software engineer, software developer, engineer, automation engineer, trader, full stack, full stack engineer, full stack…",San Francisco
Geotechnical Staff Engineer,,DIVIS CONSULTING INC,40.0,,Bachelors of Science in Civil Engineering or relevant experience. Present accurate and complete field daily reports for review by geotechnical engineer.,San Francisco
0922 Care Coordinator Service Manager (Manager 1),"San Francisco, CA 94102 (Tenderloin area)",San Francisco Department of Homelessness and Suppo...,60.5,,"Advanced degree and/or clinical certification in social work, public health, or MFT. Two or more years of Federal or State grant management experience preferred…",San Francisco
"Associate Staff Scientist, Engineer, or Geologist","Oakland, CA 94612 (Downtown area)","Path Forward Partners, Inc.",45.0,,California Geologist or Engineering in Training (GIT or EIT) preferred; Personal protective equipment provided or required. Advanced MS Excel user; and.,San Francisco
Communications Dispatcher I,"San Francisco, CA (Bayview area)",City & County of San Francisco,31.0,4.0,"Operates a variety of communications equipment and information transmitting devices such as, multi-line telephones, two-way radio and pager systems utilized to…",San Francisco
Machine Learning Engineer,"San Ramon, CA",The Blue Store,75.0,,"Keywords: developer, python developer, software engineer, software developer, engineer, automation engineer, trader, full stack, full stack engineer, full stack…",San Francisco
Business Analyst (Only local *W2*),"Foster City, CA 94404","Sharp Decisions, Inc.",35.0,,3+ years of pharmaceutical or biotech industry preferred. Industry knowledge of pharmaceutical business standards and regulations is preferred.,San Francisco
Investigative Support Analyst ISA I-A,"Richmond, CA 94804 (Southwest Annex area)",The West River Group,27.0,,Ability to perform the appropriate analytical techniques or methods; Ability to support complex criminal and/or civil investigations;,San Francisco
Managing Editor/Sr. Writer,"San Mateo, CA",Innerbody Research,50.0,,Conduct additional 3rd-party research to improve articles. And our research team is made up of people who approach product and service testing with an…,San Francisco
Project Consulting & Data Analyst,"Seattle, WA",Logic Rule,35.5,,"Length of Contract: 6 months (to start). MS Office and Advanced Excel skills (Pivot tables, Charts, KPI analysis, Macros).",Seattle
Fiscal & Policy Analyst,"Seattle, WA",City of Seattle,52.5,3.8,"To accomplish this, the analyst will research, analyze and summarize complex proposals, work on a variety of teams, communicate clearly with people from a…",Seattle
RESEARCH SCIENTIST/ENGINEER - ASSISTANT (LIMITED TERM/TEMPORARY),"Seattle, WA 98195 (University District area)",University of Washington,20.0,4.1,"Work experience, academic training, and/or interest in violence research or adolescent health. Assist with preparation of manuscripts for publication or…",Seattle
OSINT Analyst,"Seattle, WA 98109 (Westlake area)",Allied Universal,25.0,3.2,Bachelor’s degree or higher in a related field and/or formal government/military/law enforcement intelligence training. Clarity of thought and analytical flare.,Seattle
"DATA ENTRY OPERATOR (TEMPORARY, DAYS)","Seattle, WA 98195 (University District area)",University of Washington,17.5,4.1,"Assist with gathering data attributes. High School Diploma, or GED Certificate; OR six months of general work experience, or applicable training.",Seattle
Biological Technician,"Issaquah, WA",Cramer Fish Sciences,21.5,,"Experience creating data summaries and visualizations in R or Excel. Basic experience using Arc or Q GIS. Knowledge of fisheries, forestry or wildlife studies.",Seattle
GSOC Operator I,"Bellevue, WA",Allied Universal,25.0,3.2,"Investigate alarms and respond by sending security patrol, or alerting Fire services or Police as needed. High school diploma or equivalent required.",Seattle
Administrative Specialist II,"Seattle, WA",King County,25.0,4.1,"This position will assist in processing those files when they return from the vendor including quality assurance of the scanned versions, migrating those files…",Seattle
Digital Programs Assistant,"Seattle, WA 98104 (First Hill area)",Frye Art Museum,20.0,3.3,Experience in museum or nonprofit setting a plus. Some or all of the work performed will be off-site such as in the home or in a space near the home.,Seattle
Management Systems Analyst (temporary position),"Seattle, WA",City of Seattle,41.0,3.8,"Requires two years in systems, operational, procedures, research or analysis and a Bachelor's degree in business or public administration, finance, computer…",Seattle
Contract Analyst - Homeless Housing,"Tukwila, WA 98188",King County Housing Authority,29.5,4.0,"Experience with data management systems. Ability to explain complex or technical information regarding rules, rights, regulations, policies, procedures,…",Seattle
PRODUCTION - CEL - DOCUMENTATION ANALYST - WA - 35192-1,"Seattle, WA",ASAP Solutions,50.0,4.1,Flexibility in responding to change or business needs. Work with IT and MDM teams to resolve any master data related issues.,Seattle
Graphic Design Intern,"Seattle, WA",LabKey Software,20.0,,"Currently (or graduated in the past year) in trade school, art school, community college or university and a Washington State resident.",Seattle
Food & Nutrition-Business Analyst,"Austin, TX 78749",Prolim,65.5,,"Documents relevant data reporting elements. Queries, analyzes, and provides data. Ability to quickly and clearly communicate technical information to non…",Austin
Business Analyst,"Austin, TX",Talentiqo,52.5,,The initial assignment for the Business Analyst will be to support the migration of an existing major data warehouse solution and associated web applications…,Austin
Business Analyst II,"Austin, TX",EvereTech LLC,52.5,5.0,"The Business Analyst should possess both business and systems analyst skills, perform business process and requirements analyses by leading stakeholder…",Austin
Liaison Business Analyst,"Austin, TX","PMCS Services, Inc",75.0,,"Business analyst: 10 years (Required). Documents relevant data reporting elements. Queries analyze and provide data. Job Types: Full-time, Contract.",Austin
Data Engineer,"Austin, TX",Sage IT Inc,57.5,,"B.S./M.S. in Computer Science or Computer Engineering or 3+ years of equivalent experience. Strong skills in SQL, Java and/or Python.",Austin
"Intern (Associate Market Analyst, Business Development)","Austin, TX 78757 (North Shoal Creek area)",Pearson,20.0,3.7,Perform market research and analysis. Evaluate costs and benefits of multiple actions and/or solutions and provide data-driven recommendations.,Austin
Business Intelligence Consultant,"Austin, TX 78704 (Bouldin area)",City of Austin,35.5,4.1,Troubleshoots reported data loads or reconciliation inconsistencies in conjunction with the sites for data models and/or reports.,Austin
IT Data Architect (ETL Developer and Administrator),"Austin, TX 78704 (Bouldin area)",City of Austin,43.0,4.1,"Extensive experience developing data-centric applications and/or large-scale data integrations and transformations using ETL toolsets, SQL and/or other database…",Austin
Emerging Operations Analyst,"Austin, TX 78731",Indeed,22.0,4.3,"Analytics experience on data from a diverse array of data sources, and the ability to synthesize and visualize data for making timely decisions and developing…",Austin
Business Analyst,"Austin, TX 78701 (Downtown area)",Amer Technology Inc,62.5,3.2,"Documents relevant data reporting elements. Queries, analyzes, and provides data. Ability to quickly and clearly communicate technical information to non…",Austin
"Emerging Operations Analyst, Messaging","Austin, TX 78731",Indeed,22.0,4.3,"Text analytics experience on data from a diverse array of data sources, and the ability to synthesize and visualize data for making timely decisions and…",Austin
IT Business Systems Analyst Senior,"Austin, TX 78704 (South River City area)",City of Austin,38.0,4.1,Experience conducting research on new and existing system upgrades and/or replacements. Verification of your education (which may include high school graduation…,Austin
GIS ANALYST,"Cedar Park, TX 78613",The City of Cedar Park,22.5,,"Bachelor’s or Associate’s degree in Geographic Information System Science, Planning, Geography, or in a field related to the work from an accredited college or…",Austin
Big Data Administrator,"Austin, TX 78746",Econtenti Inc,43.5,3.8,"Bachelors or Masters in Engineering, Information Systems, Computer Science or Information Technology or equivalent experience. Job Types: Full-time, Contract.",Austin
"UX Research Coordinator, International","Austin, TX 78731",Indeed,25.5,4.3,Assist in the development of a database or panel of research participants to expedite the recruiting process. Proficiency in a second language and/or experience…,Austin
Business Systems Analyst - Global,"Austin, TX 78739","TechPro, LLC",33.0,,"Identify, direct and document complex business processes and business requirements to solve business needs in a cost-effective manner.",Austin
Associate Analyst,"Austin, TX",GlobalLogic,19.0,3.9,Deliver timely different project's data at the highest possible quality standard. The Offensive Content may include but is not limited to content including…,Austin
Entry-Level Data Analyst,,Adecco,22.0,3.8,Designing processes for data collection. Advising organizational and business strategy. Identifying trends and relationships in data.,Austin
Nutritional Software experienced Business Analyst [ No OPT ],"Austin, TX 78717",Production Modeling Corporation,52.5,,Documents relevant data reporting elements. High school or equivalent (Preferred). 10 years of analyzing and summarizing data using Excel.,Austin
Data Engineer---(W2 Position),"Austin, TX 78727",Vizva Technologies,45.0,,B.S./M.S. in Computer Science or Computer Engineering or 3+ years of equivalent experience. Aggregating key metrics for business partners to inform key…,Austin
IT Business Systems Analyst (Parks & Recreation Department),"Austin, TX 78704 (Zilker area)",City of Austin,33.5,4.1,"Experience with business intelligence software (e.g. MicroStrategy, Power BI). Grant Funded or Pooled Position Not Applicable. Experience with Oracle PL/SQL.",Austin
SQL Server Database Administrator,"Austin, TX",VV Tech Solutions,70.0,,Design data models and database schemas. Produce an implementation plan or plans relating to new and/or enhanced database technologies.,Austin
Enforcement Analyst,,"Texas Reliability Entity, Inc.",25.5,,"Background in regulatory, compliance, or legal activities, or related field preferred. Personal protective equipment provided or required.",Austin
IT Business Systems Analyst Senior (Project & Technologies),"Austin, TX 78741 (Pleasant Valley area)",City of Austin,38.0,4.1,"Verification of your education (which may include high school graduation or GED, undergraduate and/or graduate degrees) will be required.",Austin
Data Modeler,"Austin, TX",Ursi Technologies Inc,57.5,,"He/she should be well versed in understanding relational data, dimensional data, unstructured data, and master data. Data modeling software (6 years).",Austin
Middle School Attendance Clerk,"Leander, TX",Leander Independent School District,14.0,4.1,"Collect, enter and maintain attendance and PEIMS data into student database including the update of parent/doctor notes. Assist with court referral process.",Austin
Data Analyst - Bilingual (German),,CSS Corp,18.0,3.6,Perform data attribute editing - Make accurate edits on map as required & evident from research. Review and research requests to determine if map attributes…,Austin
Search Quality Risk Operations Analyst,"Austin, TX 78731",Indeed,22.0,4.3,Technical knowledge with a proficiency in manipulating data sets in SQL or equivalent and drawing insights from data.,Austin
Cisco ASA FirePower Engineer,"Austin, TX","PMCS Services, Inc",65.0,,"Knowledge of TCP/IP in order to set up or configure routing, client VPN tunnels, site-to-site VPN tunnels, and host explicit routes on routers, firewalls, and…",Austin
Office Administrator,,123 Home Care,16.0,3.6,"Personal protective equipment provided or required. Work Experience or Related Experience: *. Sanitizing, disinfecting, or cleaning procedures in place.",Austin
